
2024/02/14 (12:44:59) | ===> btop++ v.1.2.13
2024/02/14 (12:44:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/29 (17:56:41) | ===> btop++ v.1.2.13
2024/02/29 (17:56:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/02 (10:05:19) | ===> btop++ v.1.2.13
2024/03/02 (10:05:19) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/26 (20:10:05) | ===> btop++ v.1.3.2
2024/03/26 (20:10:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/26 (20:10:09) | ===> btop++ v.1.3.2
2024/03/26 (20:10:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/01 (14:50:17) | ===> btop++ v.1.3.2
2024/04/01 (14:50:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/01 (14:51:21) | ===> btop++ v.1.3.2
2024/04/01 (14:51:21) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/01 (15:02:40) | ===> btop++ v.1.3.2
2024/04/01 (15:02:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/01 (15:18:42) | ===> btop++ v.1.3.2
2024/04/01 (15:18:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/01 (15:20:31) | ===> btop++ v.1.3.2
2024/04/01 (15:20:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/17 (20:32:44) | ===> btop++ v.1.3.2
2024/04/17 (20:32:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/26 (10:57:56) | ===> btop++ v.1.3.2
2024/04/26 (10:57:56) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/03 (09:49:22) | ===> btop++ v.1.3.2
2024/05/03 (09:49:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/13 (14:56:44) | ===> btop++ v.1.3.2
2024/05/13 (14:56:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (09:28:14) | ===> btop++ v.1.3.2
2024/05/14 (09:28:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (10:28:34) | ===> btop++ v.1.3.2
2024/05/14 (10:28:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (16:18:52) | ===> btop++ v.1.3.2
2024/05/14 (16:18:52) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (16:22:53) | ===> btop++ v.1.3.2
2024/05/14 (16:22:53) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (16:27:09) | ===> btop++ v.1.3.2
2024/05/14 (16:27:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/16 (15:24:16) | ===> btop++ v.1.3.2
2024/05/16 (15:24:16) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/17 (10:18:46) | ===> btop++ v.1.3.2
2024/05/17 (10:18:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/17 (10:18:59) | ===> btop++ v.1.3.2
2024/05/17 (10:18:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/25 (18:31:23) | ===> btop++ v.1.3.2
2024/05/25 (18:31:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/25 (18:34:22) | ===> btop++ v.1.3.2
2024/05/25 (18:34:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (14:48:34) | ===> btop++ v.1.3.2
2024/06/04 (14:48:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/14 (09:55:56) | ===> btop++ v.1.3.2
2024/06/14 (09:55:56) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/14 (14:55:49) | ===> btop++ v.1.3.2
2024/06/14 (14:55:49) | WARNING: Failed to set locale UTF-8 continuing anyway.
